Sample ID,Coral ID,Dilution date,PCR 1 date,Gel date,Desired concentration (ng/ul),Qubit value (ng/ul),DNA for dilution (ul),water for dilution (ul),n =,PCR mix (ul),water (ul),F 16S primer (ul),R 16S primer (ul),Annealing temp C,Notes
84,9DW33,9/9/21,9/29/21,,5,10.3,4.854368932,5.145631068,100.8,630,277.2,126,126,70,
85,1AZ1,7/26/21,9/23/21,,5,10.4,4.807692308,5.192307692,100.8,630,277.2,126,126,70,
86,2JQ37,9/15/21,10/13/21,,5,9.82,5.091649695,4.908350305,31.50,196.88,86.63,39.38,39.38,70.00,
87,1HS39,9/9/21,9/30/21,,5,10.5,4.761904762,5.238095238,100.8,630,277.2,126,126,70,
88,9HS19,9/9/21,9/30/21,,5,10.5,4.761904762,5.238095238,100.8,630,277.2,126,126,70,
89,2BY6,9/9/21,9/30/21,,5,10.5,4.761904762,5.238095238,100.8,630,277.2,126,126,70,
90,0EV2,9/7/21,9/29/21,,5,10.6,4.716981132,5.283018868,100.8,630,277.2,126,126,70,
91,2EV8,9/14/21,9/30/21,,5,10.7,4.672897196,5.327102804,100.8,630,277.2,126,126,70,
92,0CX3,9/7/21,9/23/21,,5,10.8,4.62962963,5.37037037,100.8,630,277.2,126,126,70,
93,2EV44,9/9/21,9/30/21,,5,10.9,4.587155963,5.412844037,100.8,630,277.2,126,126,70,
94,9CX1,9/14/21,9/30/21,,5,11.15,4.484304933,5.515695067,100.8,630,277.2,126,126,70,
95,FU3,9/9/21,9/30/21,,5,11.2,4.464285714,5.535714286,100.8,630,277.2,126,126,70,
96,9FU26,9/7/21,9/29/21,,5,11.45,4.366812227,5.633187773,100.8,630,277.2,126,126,70,
97,4DW12,9/7/21,9/29/21,10/20/21,5,11.45,4.366812227,5.633187773,100.8,630,277.2,126,126,70,
98,8EV21,9/9/21,9/30/21,,5,11.65,4.291845494,5.708154506,100.8,630,277.2,126,126,70,
99,6HS20,9/9/21,9/30/21,,5,11.85,4.219409283,5.780590717,100.8,630,277.2,126,126,70,
100,2BY3,7/27/21,9/23/21,10/14/21,5,12.15,4.115226337,5.884773663,100.8,630,277.2,126,126,70,
101,0BY3,7/27/21,9/23/21,,5,12.25,4.081632653,5.918367347,100.8,630,277.2,126,126,70,
102,0JQ3,9/7/21,9/23/21,,5,12.25,4.081632653,5.918367347,100.8,630,277.2,126,126,70,
103,2DW37,7/26/21,9/23/21,10/14/21,5,12.3,4.06504065,5.93495935,100.8,630,277.2,126,126,70,
104,0IR4,9/15/21,10/6/21,,5,12.35,4.048582996,5.951417004,100.8,630,277.2,126,126,70,
105,9JQ52,7/27/21,9/23/21,,5,12.55,3.984063745,6.015936255,100.8,630,277.2,126,126,70,
106,8JQ25,9/15/21,10/13/21,,5,9.82,5.091649695,4.908350305,31.50,196.88,86.63,39.38,39.38,70.00,
107,9JQ42,9/9/21,9/30/21,,5,12.8,3.90625,6.09375,100.8,630,277.2,126,126,70,
108,8BY25,9/14/21,10/6/21,,5,12.95,3.861003861,6.138996139,100.8,630,277.2,126,126,70,
109,4IR14,7/26/21,9/23/21,10/14/21,5,13.05,3.831417625,6.168582375,100.8,630,277.2,126,126,70,
110,2BY6,9/7/21,9/23/21,,5,13.45,3.717472119,6.282527881,100.8,630,277.2,126,126,70,
111,8DW22,7/26/21,9/23/21,,5,13.5,3.703703704,6.296296296,100.8,630,277.2,126,126,70,
112,9HS44,7/27/21,9/23/21,,5,13.6,3.676470588,6.323529412,100.8,630,277.2,126,126,70,
113,0HS3,9/9/21,10/7/21,,5,13.75,3.636363636,6.363636364,88.2,551.25,242.55,110.25,110.25,70,
114,8HS25,9/7/21,9/29/21,,5,13.8,3.623188406,6.376811594,100.8,630,277.2,126,126,70,
115,2HS8,9/7/21,9/29/21,,5,13.85,3.610108303,6.389891697,100.8,630,277.2,126,126,70,
116,2HS12,9/9/21,9/29/21,,5,13.85,3.610108303,6.389891697,100.8,630,277.2,126,126,70,
117,2JQ7,9/7/21,9/23/21,,5,13.9,3.597122302,6.402877698,100.8,630,277.2,126,126,70,
118,2HS7,9/7/21,9/29/21,,5,13.95,3.584229391,6.415770609,100.8,630,277.2,126,126,70,
119,9IR44,9/9/21,10/7/21,10/20/21,5,14,3.571428571,6.428571429,88.2,551.25,242.55,110.25,110.25,70,
120,9BY21,9/9/21,9/30/21,10/21/21,5,14,3.571428571,6.428571429,100.8,630,277.2,126,126,70,
121,2GT40,9/15/21,10/7/21,,5,14.25,3.50877193,6.49122807,88.2,551.25,242.55,110.25,110.25,70,
122,6HS17,9/14/21,10/6/21,,5,14.3,3.496503497,6.503496503,100.8,630,277.2,126,126,70,
123,9HS14,9/9/21,10/7/21,,5,14.3,3.496503497,6.503496503,88.2,551.25,242.55,110.25,110.25,70,
