Sample ID,Coral ID,Dilution date,PCR 1 date,Gel date,Desired concentration (ng/ul),Qubit value (ng/ul),DNA for dilution (ul),water for dilution (ul),n =,PCR mix (ul),water (ul),F 16S primer (ul),R 16S primer (ul),Annealing temp C,Notes
179,2GT9,7/27/21,9/23/21,,5,20.1,2.487562189,7.512437811,100.8,630,277.2,126,126,70,
180,4FU11,7/26/21,9/23/21,,5,20.5,2.43902439,7.56097561,100.8,630,277.2,126,126,70,
181,0DW50,9/14/21,9/30/21,10/21/21,5,20.6,2.427184466,7.572815534,100.8,630,277.2,126,126,70,
182,9CX9,9/9/21,9/30/21,10/21/21,5,20.6,2.427184466,7.572815534,100.8,630,277.2,126,126,70,
183,2DW36,9/9/21,9/30/21,,5,21.4,2.336448598,7.663551402,100.8,630,277.2,126,126,70,
184,8EV23,9/7/21,9/23/21,,5,22.2,2.252252252,7.747747748,100.8,630,277.2,126,126,70,
185,6JQ19,7/27/21,9/23/21,,5,22.4,2.232142857,7.767857143,100.8,630,277.2,126,126,70,
186,2CX14,9/7/21,10/7/21,,5,22.4,2.232142857,7.767857143,88.2,551.25,242.55,110.25,110.25,70,
187,8GT22,9/14/21,10/6/21,,5,22.5,2.222222222,7.777777778,100.8,630,277.2,126,126,70,
188,4GT12,9/15/21,10/6/21,,5,22.6,2.212389381,7.787610619,100.8,630,277.2,126,126,70,
189,8FU21,9/7/21,9/29/21,,5,22.7,2.202643172,7.797356828,100.8,630,277.2,126,126,70,
190,2BY5_1,9/7/21,10/7/21,,5,22.7,2.202643172,7.797356828,,,,,,,
191,2EV42,9/14/21,10/6/21,,5,22.8,2.192982456,7.807017544,100.8,630,277.2,126,126,70,
192,0EV50,7/27/21,9/23/21,,5,23,2.173913043,7.826086957,100.8,630,277.2,126,126,70,
193,2FU1,9/9/21,9/29/21,10/20/21,5,23.2,2.155172414,7.844827586,100.8,630,277.2,126,126,70,
194,2BY6,9/14/21,10/6/21,,5,23.5,2.127659574,7.872340426,100.8,630,277.2,126,126,70,
195,2HS48,9/9/21,,,5,23.5,2.127659574,7.872340426,,,,,,,
196,8EV25,7/27/21,9/23/21,,5,23.8,2.100840336,7.899159664,100.8,630,277.2,126,126,70,
197,4FU14,7/27/21,9/23/21,,5,24,2.083333333,7.916666667,100.8,630,277.2,126,126,70,
198,0DW1,9/15/21,10/7/21,10/20/21,5,24.3,2.057613169,7.942386831,88.2,551.25,242.55,110.25,110.25,70,
199,8JQ22,9/14/21,10/7/21,,5,24.5,2.040816327,7.959183673,88.2,551.25,242.55,110.25,110.25,70,
200,2DW10,9/7/21,9/29/21,,5,24.6,2.032520325,7.967479675,100.8,630,277.2,126,126,70,
201,2DW8,9/14/21,10/7/21,10/20/21,5,25.1,1.992031873,8.007968127,88.2,551.25,242.55,110.25,110.25,70,
202,0CX47,9/14/21,10/6/21,,5,25.3,1.976284585,8.023715415,100.8,630,277.2,126,126,70,
